kappa_W,e_W,M_seed,v_kin,eps_kin,omega_m,sigma_8
4,0.6,600000,12000,6.1,0.1375,0.8
2,1,2000000,1000,0.2,0.155,0.9
4,1,600000,1000,12,0.1375,0.7
3,1,2000000,12000,0.2,0.12,0.8
2,0.6,1300000,1000,0.2,0.12,0.7
2,1,600000,12000,0.2,0.155,0.7
2,1,2000000,12000,12,0.1375,0.7
4,0.2,1300000,12000,0.2,0.155,0.9
2,1,600000,12000,12,0.12,0.9
2,0.6,600000,1000,6.1,0.155,0.9
4,0.2,2000000,1000,0.2,0.12,0.9
4,0.2,600000,1000,12,0.12,0.9
2,1,600000,1000,0.2,0.12,0.8
4,0.2,600000,12000,0.2,0.12,0.7
2,0.2,600000,12000,12,0.12,0.8
4,0.2,600000,1000,0.2,0.155,0.7
4,0.2,2000000,1000,12,0.155,0.9
2,0.2,2000000,12000,0.2,0.12,0.7
2,0.2,2000000,12000,12,0.155,0.9
4,0.2,2000000,1000,12,0.12,0.7
4,1,1300000,12000,12,0.12,0.7
4,1,600000,6500,0.2,0.12,0.9
4,1,2000000,1000,0.2,0.1375,0.7
2,0.2,600000,1000,12,0.155,0.7
4,0.2,600000,12000,12,0.155,0.7
4,0.2,2000000,12000,12,0.12,0.9
4,0.6,2000000,12000,0.2,0.155,0.7
4,1,2000000,1000,12,0.12,0.9
2,0.2,2000000,1000,12,0.12,0.9
2,0.2,2000000,1000,0.2,0.155,0.7
2,1,1300000,6500,12,0.155,0.8
3,1,600000,12000,12,0.155,0.9
4,1,600000,1000,0.2,0.155,0.9
2,1,2000000,6500,6.1,0.12,0.7
4,1,2000000,12000,6.1,0.155,0.9
3,0.2,1300000,12000,6.1,0.1375,0.7
3,0.6,600000,6500,12,0.12,0.7
3,1,2000000,1000,12,0.155,0.7
2,0.6,1300000,12000,0.2,0.12,0.9
2,0.2,600000,6500,0.2,0.1375,0.9
2.4523146949,0.7535752891,1689259.0921,2939.5564466,5.3328268474,0.1464791126,0.7083166734
2.1108142025,0.5658160864,1023279.7333,5259.9491883,9.6519322175,0.148875344,0.7552510727
3.0112563938,0.776822574,735686.5713,11415.851664,2.2629918307,0.1488479538,0.7189069721
2.5119692246,0.8569514219,679052.68434,3359.9321539,3.5774317069,0.1521697725,0.7635321913
2.2873010749,0.7852017746,871194.38762,1104.9718268,11.104608145,0.1425194918,0.8608178984
3.320603922,0.875432387,801952.67627,7892.9851351,1.0025571375,0.145512861,0.8788673892
3.5348969572,0.8959980171,623072.01183,5706.0724775,4.660125596,0.1305064409,0.8140272097
3.8774450488,0.9149625533,1098827.3235,8176.4622257,6.5072684564,0.142385851,0.7069580646
3.7025915735,0.269078758,760848.32705,11220.403502,8.636056034,0.122363689,0.7766178726
3.9018970197,0.6369946004,1404133.9345,6208.4144223,3.7706041145,0.1211294392,0.755008194
2.6355652381,0.4035949986,1119561.9391,11793.02455,7.2626306363,0.1456612399,0.8068602343
2.0977617533,0.8999868264,1175216.1158,10416.666438,9.0186036544,0.1253997821,0.7268535196
2.3971735588,0.4807092738,833246.34786,7660.3717103,3.019147825,0.120421843,0.7684655934
3.1159311099,0.9651824138,1152400.3559,6112.7670046,10.397367859,0.1346158318,0.7654616238
3.7058282066,0.6934845431,1754476.781,2067.7895283,6.6755044116,0.1264077631,0.7229751937
2.6616826728,0.7199970505,937698.99024,5004.9109261,7.374203858,0.1217241819,0.7138537231
2.1884589087,0.8412293496,1966576.6384,2433.0521984,1.9098653132,0.1257666281,0.7880782932
3.9360048593,0.3322711765,1255538.1669,2945.759209,7.5129362663,0.1327590378,0.8619575683
3.6403034344,0.2414190567,1014137.0819,8660.4621081,10.473515721,0.132163156,0.8319648438
3.1822025318,0.3189882508,638164.84943,8104.7893696,5.4756609074,0.1486516114,0.8537005589
3.2719300418,0.4706670911,889666.42918,6028.8521662,4.5348366806,0.1539469673,0.701530194
2.2694367203,0.2225630124,892730.98454,1588.631987,0.8397463828,0.1291928774,0.7517057799
2.2425367917,0.4213989368,729737.50351,10822.337116,1.4445392946,0.1348472973,0.8841157909
2.4767990606,0.3085536022,1158237.2281,6915.0247715,1.7205878905,0.1544490015,0.7341804334
